model,threshold,recovery_rate,interest_rate,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Logistic Regression,0.04,0.2,0.02,365360.0,276856.0,642216.0,359.18120805369125,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.02,694800.0,144458.0,839258.0,469.38366890380314,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.02,72000.0,146280.0,218280.0,122.08053691275168,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.02,340400.0,72302.0,412702.0,230.81767337807605,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.02,181600.0,133054.0,314654.0,175.98098434004476,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.02,150960.0,105416.0,256376.0,143.38702460850112,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.03,365360.0,415284.0,780644.0,436.60178970917224,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.03,694800.0,216687.0,911487.0,509.7802013422819,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.03,72000.0,219420.0,291420.0,162.98657718120805,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.03,340400.0,108453.0,448853.0,251.03635346756153,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.03,181600.0,199581.0,381181.0,213.1884787472036,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.03,150960.0,158124.0,309084.0,172.86577181208054,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.04,365360.0,553712.0,919072.0,514.0223713646533,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.04,694800.0,288916.0,983716.0,550.1767337807606,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.04,72000.0,292560.0,364560.0,203.89261744966444,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.04,340400.0,144604.0,485004.0,271.255033557047,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.04,181600.0,266108.0,447708.0,250.39597315436242,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.04,150960.0,210832.0,361792.0,202.34451901565996,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.05,365360.0,692140.0,1057500.0,591.4429530201343,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.05,694800.0,361145.0,1055945.0,590.5732662192394,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.05,72000.0,365700.0,437700.0,244.7986577181208,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.05,340400.0,180755.0,521155.0,291.4737136465324,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.05,181600.0,332635.0,514235.0,287.60346756152126,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.05,150960.0,263540.0,414500.0,231.82326621923937,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.06,365360.0,830568.0,1195928.0,668.8635346756153,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.06,694800.0,433374.0,1128174.0,630.9697986577181,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.06,72000.0,438840.0,510840.0,285.7046979865772,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.06,340400.0,216906.0,557306.0,311.6923937360179,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.06,181600.0,399162.0,580762.0,324.8109619686801,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.06,150960.0,316248.0,467208.0,261.3020134228188,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.07,365360.0,968996.0,1334356.0,746.2841163310962,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.07,694800.0,505603.0,1200403.0,671.3663310961969,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.07,72000.0,511980.0,583980.0,326.61073825503354,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.07,340400.0,253057.0,593457.0,331.91107382550337,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.07,181600.0,465689.0,647289.0,362.0184563758389,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.07,150960.0,368956.0,519916.0,290.7807606263982,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.2,0.08,365360.0,1107424.0,1472784.0,823.7046979865772,0.8,456700.0,13842800.0
Decision Tree,0.11,0.2,0.08,694800.0,577832.0,1272632.0,711.7628635346756,0.8,868500.0,7222900.0
Random Forest,0.08,0.2,0.08,72000.0,585120.0,657120.0,367.51677852348996,0.8,90000.0,7314000.0
Gradient Boosting,0.01,0.2,0.08,340400.0,289208.0,629608.0,352.12975391498884,0.8,425500.0,3615100.0
AdaBoost,0.46,0.2,0.08,181600.0,532216.0,713816.0,399.22595078299776,0.8,227000.0,6652700.0
XGBoost,0.06,0.2,0.08,150960.0,421664.0,572624.0,320.2595078299776,0.8,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.02,319690.0,276856.0,596546.0,333.6387024608501,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.02,607950.0,144458.0,752408.0,420.80984340044745,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.02,63000.0,146280.0,209280.0,117.04697986577182,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.02,297850.0,72302.0,370152.0,207.0201342281879,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.02,158900.0,133054.0,291954.0,163.28523489932886,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.02,132090.0,105416.0,237506.0,132.83333333333334,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.03,319690.0,415284.0,734974.0,411.05928411633107,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.03,607950.0,216687.0,824637.0,461.2063758389262,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.03,63000.0,219420.0,282420.0,157.95302013422818,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.03,297850.0,108453.0,406303.0,227.2388143176734,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.03,158900.0,199581.0,358481.0,200.4927293064877,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.03,132090.0,158124.0,290214.0,162.31208053691276,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.04,319690.0,553712.0,873402.0,488.47986577181206,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.04,607950.0,288916.0,896866.0,501.60290827740494,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.04,63000.0,292560.0,355560.0,198.85906040268458,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.04,297850.0,144604.0,442454.0,247.45749440715883,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.04,158900.0,266108.0,425008.0,237.70022371364652,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.04,132090.0,210832.0,342922.0,191.79082774049218,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.05,319690.0,692140.0,1011830.0,565.9004474272931,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.05,607950.0,361145.0,969095.0,541.9994407158837,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.05,63000.0,365700.0,428700.0,239.76510067114094,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.05,297850.0,180755.0,478605.0,267.6761744966443,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.05,158900.0,332635.0,491535.0,274.9077181208054,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.05,132090.0,263540.0,395630.0,221.2695749440716,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.06,319690.0,830568.0,1150258.0,643.3210290827741,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.06,607950.0,433374.0,1041324.0,582.3959731543624,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.06,63000.0,438840.0,501840.0,280.6711409395973,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.06,297850.0,216906.0,514756.0,287.8948545861298,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.06,158900.0,399162.0,558062.0,312.1152125279642,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.06,132090.0,316248.0,448338.0,250.748322147651,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.07,319690.0,968996.0,1288686.0,720.7416107382551,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.07,607950.0,505603.0,1113553.0,622.7925055928412,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.07,63000.0,511980.0,574980.0,321.5771812080537,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.07,297850.0,253057.0,550907.0,308.1135346756152,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.07,158900.0,465689.0,624589.0,349.32270693512305,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.07,132090.0,368956.0,501046.0,280.2270693512304,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.3,0.08,319690.0,1107424.0,1427114.0,798.1621923937361,0.7,456700.0,13842800.0
Decision Tree,0.11,0.3,0.08,607950.0,577832.0,1185782.0,663.1890380313199,0.7,868500.0,7222900.0
Random Forest,0.08,0.3,0.08,63000.0,585120.0,648120.0,362.48322147651004,0.7,90000.0,7314000.0
Gradient Boosting,0.01,0.3,0.08,297850.0,289208.0,587058.0,328.3322147651007,0.7,425500.0,3615100.0
AdaBoost,0.46,0.3,0.08,158900.0,532216.0,691116.0,386.5302013422819,0.7,227000.0,6652700.0
XGBoost,0.06,0.3,0.08,132090.0,421664.0,553754.0,309.70581655480987,0.7,188700.0,5270800.0
Logistic Regression,0.04,0.4,0.02,274020.0,276856.0,550876.0,308.096196868009,0.6,456700.0,13842800.0
Decision Tree,0.11,0.4,0.02,521100.0,144458.0,665558.0,372.2360178970917,0.6,868500.0,7222900.0
Random Forest,0.08,0.4,0.02,54000.0,146280.0,200280.0,112.01342281879195,0.6,90000.0,7314000.0
Gradient Boosting,0.01,0.4,0.02,255300.0,72302.0,327602.0,183.22259507829978,0.6,425500.0,3615100.0
AdaBoost,0.46,0.4,0.02,136200.0,133054.0,269254.0,150.58948545861298,0.6,227000.0,6652700.0
XGBoost,0.06,0.4,0.02,113220.0,105416.0,218636.0,122.27964205816555,0.6,188700.0,5270800.0
Logistic Regression,0.04,0.4,0.03,274020.0,415284.0,689304.0,385.51677852348996,0.6,456700.0,13842800.0
Decision Tree,0.11,0.4,0.03,521100.0,216687.0,737787.0,412.63255033557044,0.6,868500.0,7222900.0
Random Forest,0.08,0.4,0.03,54000.0,219420.0,273420.0,152.91946308724832,0.6,90000.0,7314000.0
Gradient Boosting,0.01,0.4,0.03,255300.0,108453.0,363753.0,203.44127516778522,0.6,425500.0,3615100.0
AdaBoost,0.46,0.4,0.03,136200.0,199581.0,335781.0,187.79697986577182,0.6,227000.0,6652700.0
XGBoost,0.06,0.4,0.03,113220.0,158124.0,271344.0,151.75838926174498,0.6,188700.0,5270800.0
Logistic Regression,0.04,0.4,0.04,274020.0,553712.0,827732.0,462.9373601789709,0.6,456700.0,13842800.0
Decision Tree,0.11,0.4,0.04,521100.0,288916.0,810016.0,453.02908277404924,0.6,868500.0,7222900.0
Random Forest,0.08,0.4,0.04,54000.0,292560.0,346560.0,193.8255033557047,0.6,90000.0,7314000.0
Gradient Boosting,0.01,0.4,0.04,255300.0,144604.0,399904.0,223.6599552572707,0.6,425500.0,3615100.0
AdaBoost,0.46,0.4,0.04,136200.0,266108.0,402308.0,225.00447427293065,0.6,227000.0,6652700.0
XGBoost,0.06,0.4,0.04,113220.0,210832.0,324052.0,181.2371364653244,0.6,188700.0,5270800.0
Logistic Regression,0.04,0.4,0.05,274020.0,692140.0,966160.0,540.3579418344519,0.6,456700.0,13842800.0
Decision Tree,0.11,0.4,0.05,521100.0,361145.0,882245.0,493.425615212528,0.6,868500.0,7222900.0
Random Forest,0.08,0.4,0.05,54000.0,365700.0,419700.0,234.73154362416108,0.6,90000.0,7314000.0
Gradient Boosting,0.01,0.4,0.05,255300.0,180755.0,436055.0,243.87863534675614,0.6,425500.0,3615100.0
AdaBoost,0.46,0.4,0.05,136200.0,332635.0,468835.0,262.2119686800895,0.6,227000.0,6652700.0
XGBoost,0.06,0.4,0.05,113220.0,263540.0,376760.0,210.7158836689038,0.6,188700.0,5270800.0
Logistic Regression,0.04,0.4,0.06,274020.0,830568.0,1104588.0,617.7785234899329,0.6,456700.0,13842800.0
Decision Tree,0.11,0.4,0.06,521100.0,433374.0,954474.0,533.8221476510067,0.6,868500.0,7222900.0
Random Forest,0.08,0.4,0.06,54000.0,438840.0,492840.0,275.63758389261744,0.6,90000.0,7314000.0
Gradient Boosting,0.01,0.4,0.06,255300.0,216906.0,472206.0,264.0973154362416,0.6,425500.0,3615100.0
AdaBoost,0.46,0.4,0.06,136200.0,399162.0,535362.0,299.41946308724835,0.6,227000.0,6652700.0
XGBoost,0.06,0.4,0.06,113220.0,316248.0,429468.0,240.19463087248323,0.6,188700.0,5270800.0
Logistic Regression,0.04,0.4,0.07,274020.0,968996.0,1243016.0,695.1991051454139,0.6,456700.0,13842800.0
Decision Tree,0.11,0.4,0.07,521100.0,505603.0,1026703.0,574.2186800894855,0.6,868500.0,7222900.0
Random Forest,0.08,0.4,0.07,54000.0,511980.0,565980.0,316.5436241610738,0.6,90000.0,7314000.0
Gradient Boosting,0.01,0.4,0.07,255300.0,253057.0,508357.0,284.3159955257271,0.6,425500.0,3615100.0
AdaBoost,0.46,0.4,0.07,136200.0,465689.0,601889.0,336.6269574944072,0.6,227000.0,6652700.0
XGBoost,0.06,0.4,0.07,113220.0,368956.0,482176.0,269.67337807606265,0.6,188700.0,5270800.0
Logistic Regression,0.04,0.4,0.08,274020.0,1107424.0,1381444.0,772.6196868008949,0.6,456700.0,13842800.0
Decision Tree,0.11,0.4,0.08,521100.0,577832.0,1098932.0,614.6152125279642,0.6,868500.0,7222900.0
Random Forest,0.08,0.4,0.08,54000.0,585120.0,639120.0,357.4496644295302,0.6,90000.0,7314000.0
Gradient Boosting,0.01,0.4,0.08,255300.0,289208.0,544508.0,304.5346756152125,0.6,425500.0,3615100.0
AdaBoost,0.46,0.4,0.08,136200.0,532216.0,668416.0,373.834451901566,0.6,227000.0,6652700.0
XGBoost,0.06,0.4,0.08,113220.0,421664.0,534884.0,299.15212527964206,0.6,188700.0,5270800.0
Logistic Regression,0.04,0.5,0.02,228350.0,276856.0,505206.0,282.5536912751678,0.5,456700.0,13842800.0
Decision Tree,0.11,0.5,0.02,434250.0,144458.0,578708.0,323.662192393736,0.5,868500.0,7222900.0
Random Forest,0.08,0.5,0.02,45000.0,146280.0,191280.0,106.97986577181209,0.5,90000.0,7314000.0
Gradient Boosting,0.01,0.5,0.02,212750.0,72302.0,285052.0,159.42505592841164,0.5,425500.0,3615100.0
AdaBoost,0.46,0.5,0.02,113500.0,133054.0,246554.0,137.89373601789708,0.5,227000.0,6652700.0
XGBoost,0.06,0.5,0.02,94350.0,105416.0,199766.0,111.72595078299776,0.5,188700.0,5270800.0
Logistic Regression,0.04,0.5,0.03,228350.0,415284.0,643634.0,359.9742729306488,0.5,456700.0,13842800.0
Decision Tree,0.11,0.5,0.03,434250.0,216687.0,650937.0,364.05872483221475,0.5,868500.0,7222900.0
Random Forest,0.08,0.5,0.03,45000.0,219420.0,264420.0,147.88590604026845,0.5,90000.0,7314000.0
Gradient Boosting,0.01,0.5,0.03,212750.0,108453.0,321203.0,179.64373601789708,0.5,425500.0,3615100.0
AdaBoost,0.46,0.5,0.03,113500.0,199581.0,313081.0,175.10123042505592,0.5,227000.0,6652700.0
XGBoost,0.06,0.5,0.03,94350.0,158124.0,252474.0,141.20469798657717,0.5,188700.0,5270800.0
Logistic Regression,0.04,0.5,0.04,228350.0,553712.0,782062.0,437.3948545861298,0.5,456700.0,13842800.0
Decision Tree,0.11,0.5,0.04,434250.0,288916.0,723166.0,404.4552572706935,0.5,868500.0,7222900.0
Random Forest,0.08,0.5,0.04,45000.0,292560.0,337560.0,188.79194630872485,0.5,90000.0,7314000.0
Gradient Boosting,0.01,0.5,0.04,212750.0,144604.0,357354.0,199.86241610738256,0.5,425500.0,3615100.0
AdaBoost,0.46,0.5,0.04,113500.0,266108.0,379608.0,212.30872483221478,0.5,227000.0,6652700.0
XGBoost,0.06,0.5,0.04,94350.0,210832.0,305182.0,170.6834451901566,0.5,188700.0,5270800.0
Logistic Regression,0.04,0.5,0.05,228350.0,692140.0,920490.0,514.8154362416108,0.5,456700.0,13842800.0
Decision Tree,0.11,0.5,0.05,434250.0,361145.0,795395.0,444.85178970917224,0.5,868500.0,7222900.0
Random Forest,0.08,0.5,0.05,45000.0,365700.0,410700.0,229.6979865771812,0.5,90000.0,7314000.0
Gradient Boosting,0.01,0.5,0.05,212750.0,180755.0,393505.0,220.081096196868,0.5,425500.0,3615100.0
AdaBoost,0.46,0.5,0.05,113500.0,332635.0,446135.0,249.5162192393736,0.5,227000.0,6652700.0
XGBoost,0.06,0.5,0.05,94350.0,263540.0,357890.0,200.162192393736,0.5,188700.0,5270800.0
Logistic Regression,0.04,0.5,0.06,228350.0,830568.0,1058918.0,592.2360178970918,0.5,456700.0,13842800.0
Decision Tree,0.11,0.5,0.06,434250.0,433374.0,867624.0,485.248322147651,0.5,868500.0,7222900.0
Random Forest,0.08,0.5,0.06,45000.0,438840.0,483840.0,270.6040268456376,0.5,90000.0,7314000.0
Gradient Boosting,0.01,0.5,0.06,212750.0,216906.0,429656.0,240.29977628635348,0.5,425500.0,3615100.0
AdaBoost,0.46,0.5,0.06,113500.0,399162.0,512662.0,286.7237136465324,0.5,227000.0,6652700.0
XGBoost,0.06,0.5,0.06,94350.0,316248.0,410598.0,229.64093959731542,0.5,188700.0,5270800.0
Logistic Regression,0.04,0.5,0.07,228350.0,968996.0,1197346.0,669.6565995525727,0.5,456700.0,13842800.0
Decision Tree,0.11,0.5,0.07,434250.0,505603.0,939853.0,525.6448545861298,0.5,868500.0,7222900.0
Random Forest,0.08,0.5,0.07,45000.0,511980.0,556980.0,311.51006711409394,0.5,90000.0,7314000.0
Gradient Boosting,0.01,0.5,0.07,212750.0,253057.0,465807.0,260.5184563758389,0.5,425500.0,3615100.0
AdaBoost,0.46,0.5,0.07,113500.0,465689.0,579189.0,323.93120805369125,0.5,227000.0,6652700.0
XGBoost,0.06,0.5,0.07,94350.0,368956.0,463306.0,259.11968680089484,0.5,188700.0,5270800.0
Logistic Regression,0.04,0.5,0.08,228350.0,1107424.0,1335774.0,747.0771812080537,0.5,456700.0,13842800.0
Decision Tree,0.11,0.5,0.08,434250.0,577832.0,1012082.0,566.0413870246085,0.5,868500.0,7222900.0
Random Forest,0.08,0.5,0.08,45000.0,585120.0,630120.0,352.4161073825503,0.5,90000.0,7314000.0
Gradient Boosting,0.01,0.5,0.08,212750.0,289208.0,501958.0,280.7371364653244,0.5,425500.0,3615100.0
AdaBoost,0.46,0.5,0.08,113500.0,532216.0,645716.0,361.1387024608501,0.5,227000.0,6652700.0
XGBoost,0.06,0.5,0.08,94350.0,421664.0,516014.0,288.59843400447426,0.5,188700.0,5270800.0
Logistic Regression,0.04,0.6,0.02,182680.0,276856.0,459536.0,257.01118568232664,0.4,456700.0,13842800.0
Decision Tree,0.11,0.6,0.02,347400.0,144458.0,491858.0,275.0883668903803,0.4,868500.0,7222900.0
Random Forest,0.08,0.6,0.02,36000.0,146280.0,182280.0,101.94630872483222,0.4,90000.0,7314000.0
Gradient Boosting,0.01,0.6,0.02,170200.0,72302.0,242502.0,135.6275167785235,0.4,425500.0,3615100.0
AdaBoost,0.46,0.6,0.02,90800.0,133054.0,223854.0,125.19798657718121,0.4,227000.0,6652700.0
XGBoost,0.06,0.6,0.02,75480.0,105416.0,180896.0,101.17225950782998,0.4,188700.0,5270800.0
Logistic Regression,0.04,0.6,0.03,182680.0,415284.0,597964.0,334.4317673378076,0.4,456700.0,13842800.0
Decision Tree,0.11,0.6,0.03,347400.0,216687.0,564087.0,315.48489932885906,0.4,868500.0,7222900.0
Random Forest,0.08,0.6,0.03,36000.0,219420.0,255420.0,142.8523489932886,0.4,90000.0,7314000.0
Gradient Boosting,0.01,0.6,0.03,170200.0,108453.0,278653.0,155.84619686800895,0.4,425500.0,3615100.0
AdaBoost,0.46,0.6,0.03,90800.0,199581.0,290381.0,162.40548098434004,0.4,227000.0,6652700.0
XGBoost,0.06,0.6,0.03,75480.0,158124.0,233604.0,130.6510067114094,0.4,188700.0,5270800.0
Logistic Regression,0.04,0.6,0.04,182680.0,553712.0,736392.0,411.8523489932886,0.4,456700.0,13842800.0
Decision Tree,0.11,0.6,0.04,347400.0,288916.0,636316.0,355.8814317673378,0.4,868500.0,7222900.0
Random Forest,0.08,0.6,0.04,36000.0,292560.0,328560.0,183.75838926174498,0.4,90000.0,7314000.0
Gradient Boosting,0.01,0.6,0.04,170200.0,144604.0,314804.0,176.06487695749442,0.4,425500.0,3615100.0
AdaBoost,0.46,0.6,0.04,90800.0,266108.0,356908.0,199.61297539149888,0.4,227000.0,6652700.0
XGBoost,0.06,0.6,0.04,75480.0,210832.0,286312.0,160.1297539149888,0.4,188700.0,5270800.0
Logistic Regression,0.04,0.6,0.05,182680.0,692140.0,874820.0,489.2729306487696,0.4,456700.0,13842800.0
Decision Tree,0.11,0.6,0.05,347400.0,361145.0,708545.0,396.27796420581655,0.4,868500.0,7222900.0
Random Forest,0.08,0.6,0.05,36000.0,365700.0,401700.0,224.66442953020135,0.4,90000.0,7314000.0
Gradient Boosting,0.01,0.6,0.05,170200.0,180755.0,350955.0,196.28355704697987,0.4,425500.0,3615100.0
AdaBoost,0.46,0.6,0.05,90800.0,332635.0,423435.0,236.8204697986577,0.4,227000.0,6652700.0
XGBoost,0.06,0.6,0.05,75480.0,263540.0,339020.0,189.60850111856823,0.4,188700.0,5270800.0
Logistic Regression,0.04,0.6,0.06,182680.0,830568.0,1013248.0,566.6935123042506,0.4,456700.0,13842800.0
Decision Tree,0.11,0.6,0.06,347400.0,433374.0,780774.0,436.6744966442953,0.4,868500.0,7222900.0
Random Forest,0.08,0.6,0.06,36000.0,438840.0,474840.0,265.5704697986577,0.4,90000.0,7314000.0
Gradient Boosting,0.01,0.6,0.06,170200.0,216906.0,387106.0,216.5022371364653,0.4,425500.0,3615100.0
AdaBoost,0.46,0.6,0.06,90800.0,399162.0,489962.0,274.02796420581655,0.4,227000.0,6652700.0
XGBoost,0.06,0.6,0.06,75480.0,316248.0,391728.0,219.08724832214764,0.4,188700.0,5270800.0
Logistic Regression,0.04,0.6,0.07,182680.0,968996.0,1151676.0,644.1140939597316,0.4,456700.0,13842800.0
Decision Tree,0.11,0.6,0.07,347400.0,505603.0,853003.0,477.07102908277403,0.4,868500.0,7222900.0
Random Forest,0.08,0.6,0.07,36000.0,511980.0,547980.0,306.4765100671141,0.4,90000.0,7314000.0
Gradient Boosting,0.01,0.6,0.07,170200.0,253057.0,423257.0,236.72091722595079,0.4,425500.0,3615100.0
AdaBoost,0.46,0.6,0.07,90800.0,465689.0,556489.0,311.2354586129754,0.4,227000.0,6652700.0
XGBoost,0.06,0.6,0.07,75480.0,368956.0,444436.0,248.56599552572706,0.4,188700.0,5270800.0
Logistic Regression,0.04,0.6,0.08,182680.0,1107424.0,1290104.0,721.5346756152126,0.4,456700.0,13842800.0
Decision Tree,0.11,0.6,0.08,347400.0,577832.0,925232.0,517.4675615212528,0.4,868500.0,7222900.0
Random Forest,0.08,0.6,0.08,36000.0,585120.0,621120.0,347.38255033557044,0.4,90000.0,7314000.0
Gradient Boosting,0.01,0.6,0.08,170200.0,289208.0,459408.0,256.93959731543623,0.4,425500.0,3615100.0
AdaBoost,0.46,0.6,0.08,90800.0,532216.0,623016.0,348.4429530201342,0.4,227000.0,6652700.0
XGBoost,0.06,0.6,0.08,75480.0,421664.0,497144.0,278.0447427293065,0.4,188700.0,5270800.0
